CLY23-D4,Rep,Female genotype,Species,Notes,DTS,DTA,PH (cm),EH (cm),EN,BW (cm),BL (cm),SL (cm),SPAD 1,SPAD 1 Date,SPAD 2,SPAD 2 Date,Leaf Auringle,ST,StPu,StPi,Zigzag,Prolificacy,Brace roots,Fv/Fm,Fv/Fm Date
4139,1,Zlux-G6_P4_P1_P3_P3.2.1.1,Zlux,,7/3/2023,7/2/2023,187,60,2,,,,,,,,,,,,,,,,8/8/2023
4140,1,Bals-JSG-RMM-LCL-483_P3_P1_P3_P1.1.1.1,Bals,,7/4/2023,7/6/2023,187,68,3,,,,,,,,,,,,,,,,8/9/2023
4141,1,Zdip-CIM10003_P3_P1_P2_P1.4.1.1,Zdip,,7/5/2023,7/5/2023,195,77,3,,,,,,,,,,,,,,,,8/10/2023
4142,1,Bals-JLHNM-661_P2_P2_P5_P2.1.1.1,Bals,,7/2/2023,7/1/2023,163,63,2,,,,,,,,,,,,,,,,8/7/2023
4143,1,Zdip-JLVTKV-719_P2_P1_P3_P1.1.1.1,Zdip,,7/6/2023,7/6/2023,177,58,2,,,,,,,,,,,,,,,,8/11/2023
4144,1,Bals-JSG-RMM-LCL-524_P2_P1_P3_P1.1.1.1,Bals,,6/27/2023,6/27/2023,195,58,4,,,,,,,,,,,,,,,,8/2/2023
4145,1,B73,B73,,7/4/2023,7/1/2023,201,60,2,,,,,,,,,,,,,,,,8/9/2023
4146,1,Bals-JSG-Y-RMM-457_P3_P1_P2_P2.1.1.1,Bals,,7/6/2023,7/6/2023,185,60,1,,,,,,,,,,,,,,,,8/11/2023
4147,1,Bals-JSG-RMM-LCL-517_P2_P1_P3_P1.2.1.1,Bals,,7/2/2023,7/1/2023,249,90,2,,,,,,,,,,,,,,,,8/7/2023
4148,1,Mesa-JSG-LCL-565_P2_P1_P5_P1.1.1.1,Mesa,,6/29/2023,6/28/2023,179,65,3,,,,,,,,,,,,,,,,8/4/2023
4149,1,Bals-JLNCM-643_P3_P1_P4_P1.2.1.1,Bals,,6/29/2023,6/30/2023,195,80,2,,,,,,,,,,,,,,,,8/4/2023
4150,1,Zlux-G6_P4_P1_P4_P2.4.1.1,Zlux,,7/4/2023,7/4/2023,187,81,4,,,,,,,,,,,,,,,,8/9/2023
4151,1,Hueh-H1_P3_P1_P2_P1.2.1.1,Hueh,,7/1/2023,7/2/2023,193,71,5,,,,,,,,,,,,,,,,8/6/2023
4152,1,Zlux-G3_P3_P1_P1_P2.2.1.1,Zlux,,7/4/2023,7/4/2023,195,69,2,,,,,,,,,,,,,,,,8/9/2023
4153,1,Nabo-JSG-SRV-604_P3_P1_P2_P4.3.1.1,Nabo,,7/6/2023,7/5/2023,217,78,2,,,,,,,,,,,,,,,,8/11/2023
4154,1,Bals-JSG-RMM-LCL-523_P1_P1_P5_P1.2.1.1,Bals,,6/28/2023,7/1/2023,192,72,3,,,,,,,,,,,,,,,,8/3/2023
4155,1,Nabo-JSG-SRV-604_P3_P1_P2_P3.3.1.1,Nabo,,6/28/2023,6/27/2023,192,73,3,,,,,,,,,,,,,,,,8/3/2023
4156,1,Bals-JSG-RMM-LCL-495_P4_P1_P4_P1.1.1.1,Bals,,7/2/2023,7/1/2023,205,75,3,,,,,,,,,,,,,,,,8/7/2023
4157,1,Zdip-CIM10003_P3_P1_P1_P2.1.1.1,Zdip,,7/3/2023,7/1/2023,184,75,2,,,,,,,,,,,,,,,,8/8/2023
4158,1,B73,B73,,7/2/2023,6/29/2023,195,63,2,,,,,,,,,,,,,,,,8/7/2023
4159,1,Dura-JSG-SRV-EAM-705_P4_P1_P4_P6.1.1.1,Dura,,6/28/2023,6/28/2023,177,63,2,,,,,,,,,,,,,,,,8/3/2023
4160,1,Dura-JSG-Y-RMM-429_P4_P1_P4_P2.3.1.1,Dura,,6/27/2023,6/27/2023,200,75,3,,,,,,,,,,,,,,,,8/2/2023
4161,1,Bals-JSG-467_P2_P1_P2_P2.2.1.1,Bals,,7/1/2023,7/1/2023,215,89,3,,,,,,,,,,,,,,,,8/6/2023
4162,1,B73,B73,,7/1/2023,6/27/2023,215,98,3,,,,,,,,,,,,,,,,8/6/2023
4163,1,Bals-JSG-Y-LOS-142_P1_P1_P1_P1.2.1.1,Bals,,6/30/2023,7/1/2023,230,83,5,,,,,,,,,,,,,,,,8/5/2023
4164,1,Bals-JSG-RMM-LCL-517_P2_P1_P5_P1.1.1.1,Bals,,6/28/2023,6/28/2023,186,48,1,,,,,,,,,,,,,,,,8/3/2023
4165,1,Mesa-JSG-RMM-LCL-473_P3_P1_P1_P1.1.1.1,Mesa,,6/29/2023,6/29/2023,227,62,3,,,,,,,,,,,,,,,,8/4/2023
4166,1,Bals-JSG-RMM-LCL-517_P2_P1_P3_P2.2.1.1,Bals,,7/1/2023,7/1/2023,185,70,3,,,,,,,,,,,,,,,,8/6/2023
4167,1,Chal-JSG-RMM-LCL-476_P2_P1_P1_P2.1.1.1,Chal,,6/28/2023,6/28/2023,217,80,3,,,,,,,,,,,,,,,,8/3/2023
4168,1,Zlux-G3_P3_P1_P4_P3.2.1.1,Zlux,,6/27/2023,6/27/2023,178,45,4,,,,,,,,,,,,,,,,8/2/2023
4169,1,Mesa-JSG-LCL-689_P2_P1_P2_P1.2.1.1,Mesa,,6/29/2023,6/30/2023,198,73,2,,,,,,,,,,,,,,,,8/4/2023
4170,1,Mesa-JSG-Y-LOS-75_P2_P1_P2_P1.2.1.1,Mesa,,7/1/2023,7/2/2023,203,95,3,,,,,,,,,,,,,,,,8/6/2023
4171,1,Zdip-CIM10003_P3_P1_P4_P2.3.1.1,Zdip,,7/4/2023,7/2/2023,195,63,4,,,,,,,,,,,,,,,,8/9/2023
4172,1,Nabo-JSG-SRV-604_P2_P1_P4_P2.2.1.1,Nabo,,7/1/2023,6/26/2023,195,69,2,,,,,,,,,,,,,,,,8/6/2023
4173,1,Dura-JSG-SRV-EAM-708_P3_P1_P3_P1.2.1.1,Dura,,6/28/2023,6/28/2023,205,75,5,,,,,,,,,,,,,,,,8/3/2023
4174,1,Bals-JACV-T-049_P2_P1_P3_P2.2.1.1,Bals,,7/2/2023,6/30/2023,224,100,6,,,,,,,,,,,,,,,,8/7/2023
4175,1,B73,B73,,7/2/2023,6/30/2023,180,61,2,,,,,,,,,,,,,,,,8/7/2023
4176,1,Bals-JSG-RMM-LCL-534_P1_P1_P1_P1.2.1.1,Bals,,7/10/2023,7/7/2023,227,83,2,,,,,,,,,,,,,,,,8/15/2023
4177,1,Bals-JSG-RMM-LCL-534_P1_P1_P1_P2.2.1.1,Bals,,6/29/2023,6/29/2023,147,47,3,,,,,,,,,,,,,,,,8/4/2023
4178,1,Nabo-JSG-SRV-604_P2_P1_P4_P2.3.1.1,Nabo,,7/1/2023,7/1/2023,200,75,5,,,,,,,,,,,,,,,,8/6/2023
4179,1,Zdip-JLVTKV-719_P2_P1_P3_P3.5.1.1,Zdip,,7/8/2023,7/12/2023,164,47,3,,,,,,,,,,,,,,,,8/13/2023
4180,1,Bals-RMM-11_P2_P1_P3_P2.2.1.1,Bals,,7/1/2023,7/1/2023,204,65,2,,,,,,,,,,,,,,,,8/6/2023
4181,1,Dura-JSG-SRV-EAM-705_P1_P1_P4_P2.2.1.1,Dura,,6/28/2023,6/28/2023,195,67,3,,,,,,,,,,,,,,,,8/3/2023
4182,1,Bals-JSG-RMM-LCL-517_P2_P1_P2_P2.2.1.1,Bals,,7/4/2023,7/2/2023,223,83,3,,,,,,,,,,,,,,,,8/9/2023
4183,1,B73,B73,,7/5/2023,7/4/2023,171,46,2,,,,,,,,,,,,,,,,8/10/2023
4184,1,Zdip-JLVTKV-719_P2_P1_P1_P3.4.1.1,Zdip,,7/1/2023,7/1/2023,215,83,4,,,,,,,,,,,,,,,,8/6/2023
4185,1,Bals-JSG-LCL-704_P2_P1_P3_P1.2.1.1,Bals,,7/2/2023,7/1/2023,192,52,5,,,,,,,,,,,,,,,,8/7/2023
4186,1,Dura-JSG-SRV-EAM-708_P3_P1_P4_P3.4.1.1,Dura,,7/6/2023,7/5/2023,205,78,2,,,,,,,,,,,,,,,,8/11/2023
4187,1,Mesa-CIM11365_P2_P2_P5_P1.2.1.1,Mesa,,6/29/2023,6/29/2023,167,61,3,,,,,,,,,,,,,,,,8/4/2023
4188,1,B73,B73,,7/3/2023,7/1/2023,189,75,2,,,,,,,,,,,,,,,,8/8/2023
4189,1,Zdip-JLVTKV-719_P2_P1_P5_P1.2.1.1,Zdip,,7/4/2023,7/2/2023,187,70,2,,,,,,,,,,,,,,,,8/9/2023
4190,1,Zdip-JLVTKV-720_P1_P1_P3_P1.3.1.1,Zdip,,6/28/2023,6/28/2023,195,73,3,,,,,,,,,,,,,,,,8/3/2023
4191,1,Bals-JSG-RMM-LCL-534_P1_P1_P1_P1.1.1.1,Bals,,7/4/2023,7/2/2023,187,67,5,,,,,,,,,,,,,,,,8/9/2023
4192,1,Zlux-FAC--P-87_P1_P1_P1_P1.2.1.1,Zlux,,7/5/2023,7/4/2023,212,72,2,,,,,,,,,,,,,,,,8/10/2023
4193,1,Mesa-JSG-Y-RMM-447_P4_P1_P3_P1.1.1.1,Mesa,,7/5/2023,7/4/2023,198,71,2,,,,,,,,,,,,,,,,8/10/2023
4194,1,Chal-JSG-JMHC-629_P4_P1_P3_P1.3.1.1,Chal,,6/26/2023,6/26/2023,151,38,2,,,,,,,,,,,,,,,,8/1/2023
4195,1,Zlux-G6_P4_P1_P1_P1.2.1.1,Zlux,,7/6/2023,7/5/2023,191,80,2,,,,,,,,,,,,,,,,8/11/2023
4196,1,B73,B73,,7/5/2023,7/5/2023,174,47,2,,,,,,,,,,,,,,,,8/10/2023
4197,1,Zdip-JSG-RMM-LCL-551_P2_P1_P1_P2.2.1.1,Zdip,short,,,146,45,1,,,,,,,,,,,,,,,,2/4/1900
4198,1,B73,B73,,7/4/2023,7/1/2023,173,52,2,,,,,,,,,,,,,,,,8/9/2023
4199,1,Dura-JSG-SRV-EAM-705_P1_P1_P1_P2.1.1.1,Dura,,6/28/2023,6/27/2023,185,60,2,,,,,,,,,,,,,,,,8/3/2023
4200,1,Zlux-FAC--P-87_P1_P1_P1_P2.4.1.1,Zlux,,7/3/2023,7/2/2023,197,71,2,,,,,,,,,,,,,,,,8/8/2023
4201,1,Bals-JLNCM-657_P4_P1_P4_P1.2.1.1,Bals,,7/5/2023,7/5/2023,207,87,3,,,,,,,,,,,,,,,,8/10/2023
4202,1,Chal-CIM27215(CIM-1)_P2_P1_P2_P1.2.1.1,Chal,,7/5/2023,7/2/2023,176,55,2,,,,,,,,,,,,,,,,8/10/2023
4203,1,Zdip-CIM10003_P2_P1_P3_P4.5.1.1,Zdip,,6/29/2023,6/29/2023,174,53,3,,,,,,,,,,,,,,,,8/4/2023
4204,1,Hueh-H1_P3_P1_P5_P1.1.1.1,Hueh,,6/30/2023,6/29/2023,181,73,2,,,,,,,,,,,,,,,,8/5/2023
4205,1,Dura-JSG-SRV-EAM-708_P3_P1_P3_P1.1.1.1,Dura,,7/1/2023,7/1/2023,192,85,2,,,,,,,,,,,,,,,,8/6/2023
4206,1,Nabo-JSG-SRV-604_P2_P1_P3_P2.1.1.1,Nabo,,7/1/2023,6/29/2023,175,57,2,,,,,,,,,,,,,,,,8/6/2023
4207,1,Nabo-JSG-SRV-604_P2_P1_P1_P1.4.1.1,Nabo,,6/29/2023,6/27/2023,171,55,3,,,,,,,,,,,,,,,,8/4/2023
4208,1,Bals-JLNCM-649_P4_P1_P4_P2.1.1.1,Bals,,6/27/2023,6/27/2023,187,60,5,,,,,,,,,,,,,,,,8/2/2023
4209,1,Chal-CIM27215(CIM-1)_P2_P1_P2_P2.3.1.1,Chal,,7/4/2023,7/4/2023,220,87,3,,,,,,,,,,,,,,,,8/9/2023
4210,1,Hueh-H2_P4_P1_P5_P1.2.1.1,Hueh,,7/3/2023,7/2/2023,194,58,3,,,,,,,,,,,,,,,,8/8/2023
4211,1,Zlux-G3_P3_P1_P5_P2.1.1.1,Zlux,,7/4/2023,7/2/2023,200,75,2,,,,,,,,,,,,,,,,8/9/2023
4212,1,Dura-JSG-Y-RMM-429_P4_P1_P2_P2.4.1.1,Dura,,7/2/2023,7/2/2023,185,73,4,,,,,,,,,,,,,,,,8/7/2023
4213,1,Zdip-JLVTKV-719_P2_P1_P5_P5.3.1.1,Zdip,,7/4/2023,7/2/2023,195,50,4,,,,,,,,,,,,,,,,8/9/2023
4214,1,Zlux-FAC--P-87_P1_P1_P5_P1.2.1.1,Zlux,,7/1/2023,6/30/2023,185,70,6,,,,,,,,,,,,,,,,8/6/2023
4215,1,Mesa-JSG-LCL-565_P2_P1_P4_P1.1.1.1,Mesa,,7/1/2023,7/1/2023,162,65,4,,,,,,,,,,,,,,,,8/6/2023
4216,1,Bals-JSG-LCL-JR-P-702_P4_P1_P2_P2.2.1.1,Bals,,7/1/2023,6/29/2023,195,60,3,,,,,,,,,,,,,,,,8/6/2023
4217,1,Zdip-CIM10003_P2_P1_P3_P2.1.1.1,Zdip,,7/6/2023,7/4/2023,203,65,4,,,,,,,,,,,,,,,,8/11/2023
4218,1,Nabo-JSG-SRV-604_P3_P1_P5_P1.2.1.1,Nabo,,7/1/2023,7/1/2023,207,67,2,,,,,,,,,,,,,,,,8/6/2023
4219,1,Bals-JLHNM-664_P3_P1_P5_P2.1.1.1,Bals,,7/6/2023,7/6/2023,223,93,3,,,,,,,,,,,,,,,,8/11/2023
4220,1,B73,B73,,7/2/2023,7/1/2023,191,60,2,,,,,,,,,,,,,,,,8/7/2023
4221,1,Zdip-CIM10003_P3_P1_P4_P1.3.1.1,Zdip,,6/28/2023,6/28/2023,187,70,3,,,,,,,,,,,,,,,,8/3/2023
4222,1,Nabo-JSG-SRV-604_P2_P1_P5_P4.1.1.1,Nabo,,7/2/2023,7/1/2023,193,67,5,,,,,,,,,,,,,,,,8/7/2023
4223,1,Dura-JSG-SRV-EAM-705_P1_P1_P5_P1.2.1.1,Dura,,6/28/2023,6/28/2023,180,72,6,,,,,,,,,,,,,,,,8/3/2023
4224,1,Bals-JLNCM-643_P3_P1_P5_P1.1.1.1,Bals,,7/2/2023,7/1/2023,207,87,2,,,,,,,,,,,,,,,,8/7/2023
4225,1,Dura-JSG-Y-RMM-429_P4_P1_P4_P4.2.1.1,Dura,,6/26/2023,6/25/2023,145,53,3,,,,,,,,,,,,,,,,8/1/2023
4226,1,Chal-CIM11400_P2_P1_P3_P1.3.1.1,Chal,,7/2/2023,7/1/2023,197,71,3,,,,,,,,,,,,,,,,8/7/2023
4227,1,Zdip-JLVTKV-719_P2_P1_P4_P5.4.1.1,Zdip,,7/4/2023,7/2/2023,196,71,2,,,,,,,,,,,,,,,,8/9/2023
4228,1,Bals-RMM-11_P2_P1_P3_P1.3.1.1,Bals,short,,,198,47,1,,,,,,,,,,,,,,,,2/4/1900
4229,1,B73,B73,,7/3/2023,7/1/2023,183,67,2,,,,,,,,,,,,,,,,8/8/2023
4230,1,Mesa-JSG-Y-RMM-447_P4_P1_P5_P1.1.1.1,Mesa,,6/30/2023,6/28/2023,213,74,3,,,,,,,,,,,,,,,,8/5/2023
4231,1,Mesa-JSG-Y-RMM-447_P4_P1_P2_P1.2.1.1,Mesa,,7/1/2023,6/28/2023,167,60,3,,,,,,,,,,,,,,,,8/6/2023
4232,1,Dura-JSG-SRV-EAM-708_P3_P1_P5_P2.5.1.1,Dura,,7/4/2023,7/2/2023,163,45,4,,,,,,,,,,,,,,,,8/9/2023
4233,1,Nabo-JSG-SRV-606_P2_P1_P5_P2.3.1.1,Nabo,,7/1/2023,6/29/2023,173,57,3,,,,,,,,,,,,,,,,8/6/2023
4234,1,Chal-JSG-JMHC-614_P1_P1_P2_P1.2.1.1,Chal,,7/3/2023,7/1/2023,197,70,4,,,,,,,,,,,,,,,,8/8/2023
4235,1,Nabo-JSG-SRV-604_P2_P1_P4_P1.3.1.1,Nabo,,7/4/2023,7/1/2023,164,41,3,,,,,,,,,,,,,,,,8/9/2023
4236,1,Dura-JSG-SRV-EAM-708_P3_P1_P3_P2.4.1.1,Dura,,6/29/2023,6/28/2023,133,50,2,,,,,,,,,,,,,,,,8/4/2023
4237,1,Zdip-JSG-RMM-LCL-551_P3_P1_P2_P2.4.1.1,Zdip,,6/29/2023,6/28/2023,191,93,2,,,,,,,,,,,,,,,,8/4/2023
4238,1,Zlux-G3_P3_P1_P4_P3.5.1.1,Zlux,,7/1/2023,7/1/2023,175,63,3,,,,,,,,,,,,,,,,8/6/2023
4239,1,B73,B73,,7/6/2023,7/2/2023,175,50,2,,,,,,,,,,,,,,,,8/11/2023
4240,1,Bals-JSG-RMM-LCL-534_P1_P1_P1_P2.1.1.1,Bals,,7/1/2023,7/1/2023,192,67,3,,,,,,,,,,,,,,,,8/6/2023
4241,1,Mesa-JSG-Y-LOS-75_P2_P1_P4_P1.2.1.1,Mesa,,7/3/2023,7/1/2023,199,85,4,,,,,,,,,,,,,,,,8/8/2023
4242,1,B73,B73,,7/4/2023,7/1/2023,195,74,2,,,,,,,,,,,,,,,,8/9/2023
4243,1,Mesa-JSG-LCL-565_P2_P1_P2_P2.2.1.1,Mesa,,7/4/2023,7/2/2023,201,80,2,,,,,,,,,,,,,,,,8/9/2023
4244,1,Mesa-JSG-426_P1_P2_P5_P2.2.1.1,Mesa,,7/2/2023,7/1/2023,195,58,2,,,,,,,,,,,,,,,,8/7/2023
4245,1,Dura-JSG-SRV-EAM-708_P3_P1_P3_P2.3.1.1,Dura,,7/1/2023,7/1/2023,172,72,2,,,,,,,,,,,,,,,,8/6/2023
4246,1,Zlux-FAC--P-87_P1_P1_P5_P1.3.1.1,Zlux,,7/4/2023,7/1/2023,176,73,2,,,,,,,,,,,,,,,,8/9/2023
4247,1,Chal-JSG-JMHC-626_P4_P1_P5_P1.1.1.1,Chal,,7/4/2023,6/29/2023,195,60,3,,,,,,,,,,,,,,,,8/9/2023
4248,1,Zlux-FAC--P-87_P1_P1_P1_P3.1.1.1,Zlux,,7/4/2023,7/2/2023,183,72,2,,,,,,,,,,,,,,,,8/9/2023
4249,1,Nabo-JSG-SRV-604_P2_P1_P4_P1.4.1.1,Nabo,,7/1/2023,6/28/2023,205,70,3,,,,,,,,,,,,,,,,8/6/2023
4250,1,Hueh-H2_P4_P1_P1_P2.3.1.1,Hueh,,7/4/2023,7/2/2023,202,94,8,,,,,,,,,,,,,,,,8/9/2023
4251,1,Zdip-JLVTKV-720_P1_P1_P3_P2.1.1.1,Zdip,,7/5/2023,7/2/2023,153,38,1,,,,,,,,,,,,,,,,8/10/2023
4252,1,Bals-JSG-RMM-LCL-514_P3_P1_P3_P1.2.1.1,Bals,,7/5/2023,7/4/2023,163,52,2,,,,,,,,,,,,,,,,8/10/2023
4253,1,Bals-JSG-RMM-LCL-539_P3_P1_P1_P2.2.1.1,Bals,,6/29/2023,6/28/2023,199,75,4,,,,,,,,,,,,,,,,8/4/2023
4254,1,Chal-JSG-Y-RMM-463_P2_P1_P5_P1.2.1.1,Chal,,7/2/2023,7/1/2023,147,44,3,,,,,,,,,,,,,,,,8/7/2023
4255,1,Hueh-H2_P4_P1_P1_P2.2.1.1,Hueh,,7/7/2023,7/6/2023,180,52,1,,,,,,,,,,,,,,,,8/12/2023
4256,1,Hueh-H2_P4_P1_P5_P1.1.1.1,Hueh,,6/30/2023,7/1/2023,225,81,3,,,,,,,,,,,,,,,,8/5/2023
4257,1,Zdip-JLVTKV-719_P2_P1_P5_P3.1.1.1,Zdip,,7/7/2023,7/4/2023,218,85,2,,,,,,,,,,,,,,,,8/12/2023
4258,1,Bals-JACV-T-082_P2_P1_P4_P2.2.1.1,Bals,,7/6/2023,7/4/2023,186,53,1,,,,,,,,,,,,,,,,8/11/2023
4259,1,Zdip-JSG-RMM-LCL-551_P3_P1_P4_P1.4.1.1,Zdip,,7/4/2023,7/4/2023,224,75,3,,,,,,,,,,,,,,,,8/9/2023
4260,1,Bals-RMM-11_P2_P1_P3_P1.1.1.1,Bals,,7/1/2023,7/1/2023,173,70,3,,,,,,,,,,,,,,,,8/6/2023
4261,1,Dura-JSG-Y-RMM-429_P2_P1_P1_P3.1.1.1,Dura,,6/30/2023,6/28/2023,194,66,3,,,,,,,,,,,,,,,,8/5/2023
4262,1,Bals-JSG-LCL-JR-P-702_P4_P1_P2_P1.2.1.1,Bals,,7/1/2023,7/1/2023,219,83,2,,,,,,,,,,,,,,,,8/6/2023
4263,1,Zdip-JLVTKV-719_P2_P1_P2_P2.5.1.1,Zdip,,7/2/2023,7/1/2023,91,25,2,,,,,,,,,,,,,,,,8/7/2023
4264,1,Chal-JSG-JMHC-626_P4_P1_P3_P1.2.1.1,Chal,,7/4/2023,7/1/2023,172,50,1,,,,,,,,,,,,,,,,8/9/2023
4265,1,Bals-JSG-RMM-LCL-523_P1_P1_P5_P1.1.1.1,Bals,,6/29/2023,6/29/2023,225,87,5,,,,,,,,,,,,,,,,8/4/2023
4266,1,Zlux-G1_P1_P1_P1_P1.3.1.1,Zlux,,6/30/2023,7/1/2023,187,59,3,,,,,,,,,,,,,,,,8/5/2023
4267,1,Bals-JSG-RMM-LCL-474_P2_P1_P5_P1.1.1.1,Bals,,7/1/2023,7/1/2023,183,92,8,,,,,,,,,,,,,,,,8/6/2023
4268,1,Bals-JSG-RMM-LCL-568_P3_P1_P2_P1.2.1.1,Bals,,7/4/2023,7/2/2023,238,92,4,,,,,,,,,,,,,,,,8/9/2023
4269,1,B73,B73,,7/2/2023,6/29/2023,198,66,2,,,,,,,,,,,,,,,,8/7/2023
4270,1,Zlux-G3_P3_P1_P1_P3.2.1.1,Zlux,,7/3/2023,7/1/2023,176,63,1,,,,,,,,,,,,,,,,8/8/2023
4271,1,Dura-JSG-Y-RMM-429_P4_P1_P4_P1.5.1.1,Dura,,7/1/2023,6/29/2023,198,75,2,,,,,,,,,,,,,,,,8/6/2023
4272,1,B73,B73,,7/1/2023,6/29/2023,183,61,2,,,,,,,,,,,,,,,,8/6/2023
4273,1,Mesa-CIM11365_P4_P2_P3_P1.1.1.1,Mesa,,6/28/2023,6/28/2023,183,74,3,,,,,,,,,,,,,,,,8/3/2023
4274,1,Zdip-JLVTKV-720_P1_P1_P4_P4.1.1.1,Zdip,,6/28/2023,6/28/2023,191,76,3,,,,,,,,,,,,,,,,8/3/2023
4275,1,Zlux-FAC--P-87_P1_P1_P5_P3.1.1.1,Zlux,,7/3/2023,7/2/2023,194,65,2,,,,,,,,,,,,,,,,8/8/2023
4276,1,Chal-CIM27215(CIM-1)_P2_P1_P5_P1.3.1.1,Chal,,6/29/2023,6/28/2023,175,51,3,,,,,,,,,,,,,,,,8/4/2023
4277,1,Zdip-JLVTKV-719_P2_P1_P2_P3.1.1.1,Zdip,,7/1/2023,7/1/2023,207,82,3,,,,,,,,,,,,,,,,8/6/2023
4278,1,Bals-JLHNM-661_P2_P2_P5_P2.2.1.1,Bals,,7/1/2023,6/29/2023,192,76,2,,,,,,,,,,,,,,,,8/6/2023
4279,1,Bals-JLNCM-654_P1_P1_P5_P1.1.1.1,Bals,,7/5/2023,7/4/2023,250,115,3,,,,,,,,,,,,,,,,8/10/2023
4280,1,Mesa-JACV-T-018_P2_P1_P5_P1.3.1.1,Mesa,,7/1/2023,6/28/2023,167,68,2,,,,,,,,,,,,,,,,8/6/2023
4281,1,Zlux-G6_P4_P1_P3_P4.2.1.1,Zlux,,7/4/2023,7/2/2023,180,75,2,,,,,,,,,,,,,,,,8/9/2023
4282,1,Nabo-JSG-SRV-604_P2_P1_P1_P1.2.1.1,Nabo,,6/28/2023,6/28/2023,215,90,4,,,,,,,,,,,,,,,,8/3/2023
4283,1,Mesa-JSG-Y-RMM-447_P4_P1_P5_P1.2.1.1,Mesa,,7/1/2023,6/27/2023,183,53,2,,,,,,,,,,,,,,,,8/6/2023
4284,1,Mesa-JSG-LCL-689_P2_P1_P1_P2.3.1.1,Mesa,,7/2/2023,6/30/2023,173,77,3,,,,,,,,,,,,,,,,8/7/2023
4285,1,Nabo-JSG-SRV-604_P3_P1_P5_P1.4.1.1,Nabo,,7/1/2023,6/30/2023,157,50,3,,,,,,,,,,,,,,,,8/6/2023
4286,1,Bals-JSG-467_P2_P1_P3_P2.1.1.1,Bals,,7/2/2023,6/30/2023,205,90,2,,,,,,,,,,,,,,,,8/7/2023
4287,1,Zdip-JSG-RMM-LCL-551_P2_P1_P1_P3.3.1.1,Zdip,,7/2/2023,6/29/2023,181,60,2,,,,,,,,,,,,,,,,8/7/2023
4288,1,Dura-JSG-Y-RMM-429_P2_P1_P5_P1.2.1.1,Dura,,7/7/2023,7/2/2023,195,54,2,,,,,,,,,,,,,,,,8/12/2023
4289,1,Zdip-JSG-RMM-LCL-551_P2_P1_P1_P3.1.1.1,Zdip,,7/2/2023,7/1/2023,180,55,4,,,,,,,,,,,,,,,,8/7/2023
4290,1,Zdip-CIM10003_P2_P1_P2_P1.2.1.1,Zdip,,7/1/2023,6/29/2023,166,74,2,,,,,,,,,,,,,,,,8/6/2023
4291,1,B73,B73,,6/30/2023,6/29/2023,208,68,4,,,,,,,,,,,,,,,,8/5/2023
4292,1,Dura-JSG-SRV-EAM-705_P4_P1_P4_P3.2.1.1,Dura,,6/29/2023,6/29/2023,178,87,5,,,,,,,,,,,,,,,,8/4/2023
4293,1,Bals-JSG-RMM-LCL-534_P1_P1_P2_P1.2.1.1,Bals,,6/28/2023,6/27/2023,149,58,2,,,,,,,,,,,,,,,,8/3/2023
4294,1,Nabo-JSG-SRV-606_P2_P1_P4_P2.3.1.1,Nabo,,7/2/2023,7/1/2023,186,69,3,,,,,,,,,,,,,,,,8/7/2023
4295,1,Dura-JSG-SRV-EAM-705_P4_P1_P4_P5.1.1.1,Dura,,6/28/2023,6/28/2023,215,82,4,,,,,,,,,,,,,,,,8/3/2023
4296,1,Dura-JSG-Y-RMM-429_P2_P1_P5_P4.4.1.1,Dura,,7/5/2023,7/4/2023,206,67,2,,,,,,,,,,,,,,,,8/10/2023
4297,1,Mesa-CIM11365_P4_P2_P2_P1.1.1.1,Mesa,,6/28/2023,6/27/2023,158,56,2,,,,,,,,,,,,,,,,8/3/2023
4298,1,Dura-JSG-SRV-EAM-705_P4_P1_P4_P1.2.1.1,Dura,,7/2/2023,7/1/2023,184,90,2,,,,,,,,,,,,,,,,8/7/2023
4299,1,B73,B73,,7/2/2023,6/30/2023,174,67,2,,,,,,,,,,,,,,,,8/7/2023
4300,1,Zdip-JSG-RMM-LCL-551_P3_P1_P4_P1.1.1.1,Zdip,,7/1/2023,7/1/2023,163,67,3,,,,,,,,,,,,,,,,8/6/2023
4301,1,Mesa-JSG-Y-LOS-75_P1_P1_P1_P1.1.1.1,Mesa,,7/4/2023,7/4/2023,165,62,2,,,,,,,,,,,,,,,,8/9/2023
4302,1,Chal-JSG-LCL-559_P2_P1_P1_P2.2.1.1,Chal,,7/1/2023,7/2/2023,189,77,2,,,,,,,,,,,,,,,,8/6/2023
4303,1,Hueh-H2_P4_P1_P3_P2.3.1.1,Hueh,,7/2/2023,7/1/2023,188,85,4,,,,,,,,,,,,,,,,8/7/2023
4304,1,Zdip-JSG-RMM-LCL-551_P3_P1_P5_P1.3.1.1,Zdip,,7/4/2023,7/2/2023,175,62,4,,,,,,,,,,,,,,,,8/9/2023
4305,1,Bals-JSG-LCL-JR-P-702_P4_P1_P1_P1.2.1.1,Bals,,7/3/2023,7/1/2023,160,57,2,,,,,,,,,,,,,,,,8/8/2023
4306,1,Dura-JSG-SRV-EAM-708_P3_P1_P4_P2.3.1.1,Dura,,6/27/2023,6/27/2023,170,62,3,,,,,,,,,,,,,,,,8/2/2023
